,title,link,create_time
17,“未来学院”预热 | 文思泉涌绘推文，课程助力启未来,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392063&idx=2&sn=183eb6a6257ae99a29d822f8cb44509a&chksm=bd1ca58a8a6b2c9c76d721899012c43a09488cd5e80100ac1fe0bf2af65e785375914711e67d#rd,2024/12/5 21:51
18,主题班会 | 22档案：树立诚信意识，共筑良好学风,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391635&idx=1&sn=e73cfcfedce938d06aca87b2849d4719&chksm=bd1cab268a6b2230baf3ee507495e565ab9379ebe7ab25d76af9386a3776bc7028188d97954d#rd,2024/12/4 18:51
19,珞珈成长导师茶座 | 第一期：游广阔世界，察多态人生,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391614&idx=1&sn=86f12bf33483d3b60b9dd51dc52ce5e2&chksm=bd1cabcb8a6b22dde46be34f3e7ec79f35ea81204dd902e3447093044f6457c95015261d3b99#rd,2024/12/3 19:56
20,“珞珈之春”科技文化节 | 首届创新训练营第四期培训圆满举办,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391614&idx=2&sn=9fafaf3ca1190503b3cd14c9d089e076&chksm=bd1cabcb8a6b22dd3736cad8571095873ea440a89f495a877fcbc3aa02082d602eff0fd8d0cf#rd,2024/12/3 19:56
21,学生骨干培训 | 安全知识讲座及竞赛,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391614&idx=3&sn=05af1044632ba7d90901301a8a3351c8&chksm=bd1cabcb8a6b22dd8aaa0ffaea5a38ba2ff813e4f9ddb7bc8de6f9d4b16399c8f514309c090f#rd,2024/12/3 19:56
22,志愿服务 | 银发记忆，花好月圆舞蹈团专访,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391614&idx=4&sn=b76af0656607bfac2ba1b6a67a8f117d&chksm=bd1cabcb8a6b22dda260aafb35f57acb4c75a30d522ca7a605f46a0623b96d06225da2433b66#rd,2024/12/3 19:56
23,筑梦青春，启航未来 | 第二届全国大学生职业规划大赛武汉大学信息管理学院院赛圆满落幕,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391547&idx=1&sn=7cb387253e6dd3a85a0c3124eb706d1a&chksm=bd1cab8e8a6b2298cd5dff6a1f0f74261d11227fb815654084220d7119d17800db3068b9e1f7#rd,2024/12/2 18:54
24,志愿服务 | 风采依旧，舞动珞珈——武汉大学工学部风采依旧舞蹈队,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391547&idx=2&sn=9f338026a76aa6197a07d75777d6b8f1&chksm=bd1cab8e8a6b2298a2eef731fcee3015a0f6cfa8472e1fea0ff4e1676e793f8883dbad1f8ad4#rd,2024/12/2 18:54
25,活动预热 | 珞珈周跑，共享运动乐趣！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391547&idx=3&sn=6335a9ecc17bb5ebc6e1611553dbfdf8&chksm=bd1cab8e8a6b2298e5551b390ffdb61bc822ddaf8fd548e18e504f096ca7c9395b5486a85df9#rd,2024/12/2 18:54
26,志愿服务 | 银发如画，舞绽芳华,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391547&idx=4&sn=3c1b77f3e8be1e696625628e52dc990b&chksm=bd1cab8e8a6b22984007aa5c2a64492328f947023a8a14f0319ad9e5926e791bfd905ccd96ab#rd,2024/12/2 18:54
27,形势与政策教育暨青年讲师团宣讲｜坚定文化自信，建设文化强国,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391421&idx=1&sn=3cc49358a0d933db1cafa3a310aa83ed&chksm=bd1ca8088a6b211eaf03ac03b36d5f3e84e8d6fc31bd9e9ed9ee3214b6aad37f64244f828f58#rd,2024/12/1 19:08
28,【原创】国家奖学金，是怎样炼成的？,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391350&idx=1&sn=5f9f1c15a5c302cd61bfe442826bbd2b&chksm=bd1ca8c38a6b21d587c36edd7ebeca6ee34000c7a39e0464e456ecf259b75c742d33f27aeead#rd,2024/11/30 20:14
29,青年大学习 | 学习宣传贯彻党的二十届三中全会精神特辑（二）,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391350&idx=2&sn=e7981b2d37e0ffef65beb00e2b87646f&chksm=bd1ca8c38a6b21d501a1080334a4e10ec4070915297e7e504ff73b75df07892c35ed9ab7deb7#rd,2024/11/30 20:14
30,志愿活动 | “小雪助老，温情传承”,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391350&idx=3&sn=4aa776f1f2aeb5be2528c5e3a007c9cd&chksm=bd1ca8c38a6b21d51fb2324f59c5a69b14bfe25534cab4cf1de6d41dda118fa6267e0b9bc42e#rd,2024/11/30 20:14
31,学思奋进二十大，青春筑梦谱华章——珞珈红色文化节微视频大赛学习心得分享会,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391221&idx=1&sn=6c7f38ce738fc37fa8321a6255f69f01&chksm=bd1ca9408a6b20565c78632f98e564d81e5db28142e4d36a85213ff8bd4e3a89ac2c52ec6bae#rd,2024/11/29 22:20
32,主题班会｜2401班：多彩活动启智润心，班级风采熠熠生辉,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391221&idx=2&sn=1f7e1bbc12a1b8017a1743086321ad7e&chksm=bd1ca9408a6b205642abdc48576dc4583c356c3833f1ddee7e8918d5fac51c56ecd4288ac45f#rd,2024/11/29 22:20
33,生活权益 | 常见问题——交通篇,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391106&idx=1&sn=666a5902c9dfce4f23a06967c603dff6&chksm=bd1ca9378a6b20213d80938a2c9dec60267c0b9ebc68619ea3e81fbbea1db7ad209e7088b1d7#rd,2024/11/28 21:00
34,学风建设 | 四六级模考顺利收官,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391036&idx=1&sn=d77b52689dc70a51e3a183a3d026a0d7&chksm=bd1ca9898a6b209f050f8f0cdc4b42156525c5ab8b9fb51b78d757d06f91f383c64c491aff46#rd,2024/11/27 17:27
35,主题团日 | 2304&2305团支部：精神文明建设引领——时代新人 凝心聚力铸华章,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651391036&idx=2&sn=13d76382f4cab99cedaa666ad5aca78e&chksm=bd1ca9898a6b209f0e0bbfb125b09cee5ab961a0b7290e34676e9b685df1796e0393ae548991#rd,2024/11/27 17:27
36,珞珈成长导师茶座 | 第一期：游广阔世界，察多态人生,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390952&idx=1&sn=3e58b120d4597dd82e64976a265ae2a6&chksm=bd1cae5d8a6b274b94d762d7412420933d5115f1f2b25190921bbb6bf459b24173f595a7d7c7#rd,2024/11/26 22:06
37,第三届学风建设设计大赛投票开启！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390952&idx=2&sn=22895b1bf3bdb216a70c1db28869c568&chksm=bd1cae5d8a6b274b2ce95b3e1f7458a8d9b644da3f06dfd6b786b92b5c0c85d517c4df70d2d4#rd,2024/11/26 22:06
38,“珞珈之春”科技文化节 | “科创宣讲进学院”暨首届创新训练营第三期培训圆满完成,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390952&idx=3&sn=3eb6c9c3b9c8e9bb87aa56cc79ca1906&chksm=bd1cae5d8a6b274b81e24a046087c624253eb32d14a6ea80ce023d003a49c96b0fd9e55a7c88#rd,2024/11/26 22:06
39,安全教育月知识竞赛来啦~,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390952&idx=4&sn=3561adcbb6281429bdef129cb1f59e64&chksm=bd1cae5d8a6b274b799fa104e4c0308ea8697caa2af07c0146ad302270ae1ca7427201d56dcf#rd,2024/11/26 22:06
40,知爱止艾，知识先行,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390952&idx=5&sn=7d56ca1e2bba72e144560b667bfe1980&chksm=bd1cae5d8a6b274b92bb3a3074c27cbe0df5a269bd32204fe7612add76e1c5aecd89a095acd0#rd,2024/11/26 22:06
41,主题班会 | 2304&2305班：博学笃行树新风，勤勉致知铸良才,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390952&idx=6&sn=de5bb60880b1566070eb27fe9db8a1db&chksm=bd1cae5d8a6b274b0b1cdb1eef44a497461cdc7bcf487891833b03e3d11cbd0f7a7b9097eeb8#rd,2024/11/26 22:06
42,行走的党课暨劳动实践教育 | 信息管理学院：乡野党课行 振兴乡村情,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390856&idx=1&sn=92dd39554db1adcf2e202f06b3a71d31&chksm=bd1cae3d8a6b272b2b89aca15cbe0585fbdb1195a9ed6960c8805c4ceabc0d572a19dfe4734a#rd,2024/11/25 19:23
43,【帮推】珞珈山论风云 | 2024年度十大珞珈风云学子20强出炉,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390856&idx=2&sn=a3c8bacf8db2405edff8a73172013359&chksm=bd1cae3d8a6b272bebad9dd1be86cd0ca368fdae796d1090bd1e3d0181ff8cbc940f0d5ae85f#rd,2024/11/25 19:23
44,一年级计划 | 学院2024级新生班级开展“行走的班会”,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390790&idx=1&sn=a0c33c7c28dc022b272d61ce06ff440a&chksm=bd1caef38a6b27e51464aa4993df9dc01aab5070852dbdc16bea7228a01281589c13ffa6a160#rd,2024/11/24 18:32
45,主题团日 | 22电商&22图专&22档案团支部：培根铸魂育新人，教育强国谱新篇,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390790&idx=2&sn=5e4ec9fe456be5dae7359eacdc5365fd&chksm=bd1caef38a6b27e500a7c5bfcd101b64475b5dcc5c5f4f6fed4414c2b5cb11285a45a20d507f#rd,2024/11/24 18:32
46,关于2024年武汉大学心理情景剧大赛决赛的通知,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=1&sn=9cf1f7ca828bd2bf7e0a0b2084f30da8&chksm=bd1caf1f8a6b260953c8594ed42afc503219c23baf3cd806273336e3df711fef4220994d183a#rd,2024/11/23 22:29
47,【预热】“党的二十大”知识竞答与讲学竞演大赛,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=2&sn=07ac764d7afd447b5c089598cee69ad4&chksm=bd1caf1f8a6b2609a7c45834eab899c8b2ee6f0009387afe1accefe20ee68941db3a943f5a2a#rd,2024/11/23 22:29
48,“学思奋进二十大，青春筑梦谱华章”微视频大赛获奖名单,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651390634&idx=3&sn=27ee5f24ed32f5e07031133cf64f0aa0&chksm=bd1caf1f8a6b2609c1fed121388f25196ab10420338d06e30db958e0eb88077e65b59adb2406#rd,2024/11/23 22:29
